SiteUrl,LoginUrl,CompanyName,LogoUrl
https://www.pinecliffenergy.com/,https://pce.cmds.app,Pine Cliff Energy,https://hub.cmds.app/lobby/public/img/logo/pine-cliff-energy.png
https://www.ppr.ca/,https://marquee.cmds.app,Prairie Provident Resources,https://hub.cmds.app/lobby/public/img/logo/prairie-provident-resources.png
https://www.ricochetoil.com/,https://ricochetoil.cmds.app,Ricochet Oil,https://hub.cmds.app/lobby/public/img/logo/ricochet-oil.png
https://www.rockpointgs.com/,https://rockpointgs.cmds.app,Rockpoint Gas Storage,https://hub.cmds.app/lobby/public/img/logo/rockpoint-gas-storage.png
https://roskadbo.com/,https://roska.cmds.app,Roska DBO,https://hub.cmds.app/lobby/public/img/logo/roska-dbo.png
https://www.shiftiq.com/,https://e03.cmds.app,Shift iQ,https://hub.cmds.app/lobby/public/img/logo/shift-iq.png
https://www.sinopeccanada.com/,https://sinopec.cmds.app,Sinopec Daylight,https://hub.cmds.app/lobby/public/img/logo/sinopec-daylight.png
https://www.spartandeltacorp.com/,https://spartan.cmds.app,Spartan Delta,https://hub.cmds.app/lobby/public/img/logo/spartan-delta.png
https://spurpetroleum.ca/,https://spur.cmds.app,Spur Petroleum,https://hub.cmds.app/lobby/public/img/logo/spur-petroleum.png
https://steelreef.ca/,https://steelreef.cmds.app,Steel Reef,https://hub.cmds.app/lobby/public/img/logo/steel-reef.png
https://www.strathconaresources.com/,https://strath.cmds.app,Strathcona Resources,https://hub.cmds.app/lobby/public/img/logo/strathcona-resources.png
https://taigaenergy.ca/,https://taiga.cmds.app,Taiga Energy,https://hub.cmds.app/lobby/public/img/logo/taiga-energy.png
https://www.tamarackvalley.ca/,https://tamarack.cmds.app,Tamarack Valley Energy,https://hub.cmds.app/lobby/public/img/logo/tamarack-valley-energy.png
https://www.taqa.com/,https://taqa.cmds.app,TAQA,https://hub.cmds.app/lobby/public/img/logo/taqa.png
https://www.thorres.com/,https://thor.cmds.app,Thor Resources,https://hub.cmds.app/lobby/public/img/logo/thor-resources.png
https://www.tidewatermidstream.com/,https://tidewater.cmds.app,Tidewater Midstream,https://hub.cmds.app/lobby/public/img/logo/tidewater-midstream.png
https://www.tmaxenergy.ca/,https://tmax.cmds.app,TMax Energy,https://hub.cmds.app/lobby/public/img/logo/tmax-energy.png
https://www.tourmalineoil.com/,https://tourmaline.cmds.app,Tourmaline Oil,https://hub.cmds.app/lobby/public/img/logo/tourmaline-oil.png
https://www.westbrick.ca/,https://westbrick.cmds.app,Westbrick Energy,https://hub.cmds.app/lobby/public/img/logo/westbrick-energy.png
https://wolfmidstream.com/,https://wolfmidstream.cmds.app,Wolf Midstream,https://hub.cmds.app/lobby/public/img/logo/wolf-midstream.png
http://www.yohoresources.ca/,https://yri.cmds.app,Yoho Resources,https://hub.cmds.app/lobby/public/img/logo/yoho-resources.png
